"Variables ->","GDP","CPI_U","CPIF_U","CPIE_U","CPIXFE_U","S","RS","GDP_RW_U","CPI_RW","RS_RW","D4L_CPI_TAR","WOIL_U","WFOOD_U","w_CPIF","w_CPIE","EMBI","UNEM","CPI","CPIF","CPIE","CPIXFE","GDP_RW","WOIL","WFOOD","L_CPI","L_CPIE","L_CPIE_U","L_CPIF","L_CPIF_U","L_CPIXFE","L_CPIXFE_U","L_CPI_RW","L_CPI_U","L_EMBI","L_GDP","L_GDP_RW","L_GDP_RW_U","L_S","L_WFOOD","L_WFOOD_U","L_WOIL","L_WOIL_U","L_w_CPIE","L_w_CPIF","L_Z","DLA_CPI","DLA_CPIE","DLA_CPIE_U","DLA_CPIF","DLA_CPIF_U","DLA_CPIXFE","DLA_CPIXFE_U","DLA_CPI_RW","DLA_CPI_U","DLA_EMBI","DLA_GDP","DLA_GDP_RW","DLA_GDP_RW_U","DLA_S","DLA_WFOOD","DLA_WFOOD_U","DLA_WOIL","DLA_WOIL_U","DLA_w_CPIE","DLA_w_CPIF","DLA_Z","D4L_CPI","D4L_CPIE","D4L_CPIE_U","D4L_CPIF","D4L_CPIF_U","D4L_CPIXFE","D4L_CPIXFE_U","D4L_CPI_RW","D4L_CPI_U","D4L_EMBI","D4L_GDP","D4L_GDP_RW","D4L_GDP_RW_U","D4L_S","D4L_WFOOD","D4L_WFOOD_U","D4L_WOIL","D4L_WOIL_U","D4L_w_CPIE","D4L_w_CPIF","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP","DLA_UNEM_BAR","E_D4L_CPI","E_DLA_CPI","GROWTH_BAR","MCI","OBS_D4L_CPI_TAR","OBS_DLA_CPI_RW","OBS_L_CPI","OBS_L_GDP","OBS_L_GDP_GAP","OBS_L_GDP_RW_GAP","OBS_L_S","OBS_RS","OBS_RS_RW","OBS_UNEM","PREM","RMC","RSNEUTRAL","SHK_D4L_CPI_TAR","SHK_DLA_CPI","SHK_DLA_CPI_RW","SHK_DLA_GDP_BAR","SHK_DLA_UNEM_BAR","SHK_DLA_Z_BAR","SHK_L_GDP_BAR","SHK_L_GDP_GAP","SHK_L_GDP_RW_GAP","SHK_L_S","SHK_RR_BAR","SHK_RR_RW_BAR","SHK_RS","SHK_RS_RW","SHK_UNEM_BAR","SHK_UNEM_GAP","UNEM_BAR","UNEM_GAP","a1","a2","a3","b1","b2","b3","b4","e1","g1","g2","g3","n1","rho_D4L_CPI_TAR","rho_DLA_CPI_RW","rho_DLA_GDP_BAR","rho_DLA_UNEM_BAR","rho_DLA_Z_BAR","rho_L_GDP_RW_GAP","rho_RR_BAR","rho_RR_RW_BAR","rho_RS_RW","rho_UNEM_BAR","rho_UNEM_GAP","ss_D4L_CPI_TAR","ss_DLA_CPI_RW","ss_DLA_GDP_BAR","ss_DLA_Z_BAR","ss_RR_BAR","ss_RR_RW_BAR","ss_UNEM_BAR","std_SHK_D4L_CPI_TAR","std_SHK_DLA_CPI","std_SHK_DLA_CPI_RW","std_SHK_DLA_GDP_BAR","std_SHK_DLA_UNEM_BAR","std_SHK_DLA_Z_BAR","std_SHK_L_GDP_BAR","std_SHK_L_GDP_GAP","std_SHK_L_GDP_RW_GAP","std_SHK_L_S","std_SHK_RR_BAR","std_SHK_RR_RW_BAR","std_SHK_RS","std_SHK_RS_RW","std_SHK_UNEM_BAR","std_SHK_UNEM_GAP","ttrend","u1","u2"
"Comments ->","","","","","","","Nominal Policy Interest Rate (in % pa)","","","Foreign Nominal Interest Rate (in % pa)","Inflation Target (in % pa)","","","","","","Unemployment rate","","","","","","","","CPI (level, 100*log)","","","","","","","Foreign CPI (level, 100*log)","","","Real GDP (100*log)","","","Nominal Exchange Rate (LCY/FCY, 100*log)","","","","","","","Real Exchange Rate (level, 100*log)","CPI Inflation QoQ annualized (in % pa)","","","","","","","Foreign Inflation QoQ annualized (in % pa)","","","Quarterly Growth in Real GDP(in % pa)","","","Nominal Exch. Rate Depreciation QoQ annualized (in % pa)","","","","","","","Real Exchange Rate Depreciation QoQ annualized (in % pa)","CPI Inflation YoY (in % pa)","","","","","","","","","","Real GDP Growth YoY (in % pa)","","","Nominal Exch. Rate Depreciation YoY (in % pa)","","","","","","","","Real Interest Rate (in % pa)","Foreign Real Interest Rate (in % pa)","Trend Real Interest Rate (in % pa)","Real Interest Rate Gap (in %)","Trend Real Exchange Rate (level, 100*log)","Real Exchange Rate Gap (in %)","Foreign Real Interest Rate Trend (in % pa)","Foreign Real Interest Rate Gap (in %)","Trend Real Exchange Rate Depreciation QoQ annualized(in % pa)","Output Gap (in %)","Trend in Real GDP (100*log)","Real GDP Trend Growth QoQ annualized (in % pa)","","","","Foreign Output Gap (in %)","Temporaty Variation in the trend","Expected CPI Inflation YoQ (in % pa)","Expected CPI Inflation QoQ annualized (in % pa)","Growth trend","Real Monetary Condition Index (in % pa)","OBS_D4L_CPI_TAR","OBS_DLA_CPI_RW","OBS_L_CPI","OBS_L_GDP","OBS_L_GDP_GAP","OBS_L_GDP_RW_GAP","OBS_L_S","OBS_RS","OBS_RS_RW","OBS_UNEM","Country Risk Premium (in % pa)","Real Marginal Cost  (in %)","Nominal Policy Neutral Interest Rate (in % pa)","Shock: Inflation target","Shock: CPI inflation (cost-push)","Shock: Foreign inflation","Shock: Potential GDP growth","Shock: Variation in its trend unemployment","Shock: Real exchange rate depreciation","Shock: GDP trend","Shock: Output gap (demand)","Shock: Foreign output gap","Shock: Exchange rate (UIP)","Shock: Real interest rate","Shock: Foreign real interest rate","Shock: Interest rate (monetary policy)","Shock: Foreign nominal interest rate","Shock: Unemployment","Shock: Unemployment Gap","equilibrium value of the unemployment (NAIRU)","Unemployment Gap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Time trend","",""
"Class[Size] ->","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","tseries[92-by-1]","double[1-by-1]","double[1-by-1]"
"2001Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.12585583e+01,NaN,2.89900000e-01,1.75800000e-01,6.77900000e-01,6.07200000e-01,1.42500000e-01,4.75100000e-01,5.27600000e-01,5.00000000e-01,7.00000000e-01,1.50000000e+00,3.75000000e-01,9.00000000e-01,9.06900000e-01,2.63200000e-01,7.42500000e-01,8.25100000e-01,5.30400000e-01,6.75000000e-01,8.53000000e-01,7.94800000e-01,9.40000000e-01,4.48300000e-01,1.78300000e-01,3.00000000e+00,2.00000000e+00,3.30000000e+00,0.00000000e+00,3.00000000e+00,5.00000000e-01,1.11000000e+01,2.95160000e-01,1.46790000e+00,9.82800000e-01,3.76780000e-01,4.80860000e-01,1.15370000e+01,1.66470000e+00,1.05820000e+00,4.36600000e-01,1.59660000e+00,1.29610000e+00,5.56300000e-01,1.36670000e-01,1.15300000e-01,1.03290000e+00,1.28120000e-01,NaN,4.43400000e-01,4.58500000e-01
"2001Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.13039591e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.13139955e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.13932570e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2002Q1",1.09711168e+05,4.94312366e+01,4.24111184e+01,3.75534161e+01,5.37013664e+01,2.28089478e+03,7.99444000e+00,6.15950401e+01,7.06787936e+01,1.73333333e+00,6.00000000e+00,3.14212772e+01,5.67742510e+01,2.28030007e-01,1.05004931e-01,5.52546875e+00,1.54000000e+01,4.91452458e+01,4.20907601e+01,3.72545838e+01,5.34528749e+01,6.28339671e+01,3.20843348e+01,5.45303767e+01,3.89478011e+02,3.61777499e+02,3.62576435e+02,3.73982824e+02,3.74741055e+02,3.97880042e+02,3.98343845e+02,4.25814558e+02,3.90058255e+02,1.70936809e+02,1.16056064e+03,4.14049580e+02,4.12058135e+02,7.73232309e+02,3.99875792e+02,4.03908290e+02,3.46836790e+02,3.44748528e+02,-2.25374797e+02,-1.47827805e+02,8.09568856e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.25307873e+02,-1.57390176e+01,NaN,NaN,NaN,8.18022798e-01,1.16403971e+03,NaN,4.13843855e+02,2.05725846e-01,4.13843855e+02,2.05725846e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.14777258e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2002Q2",1.13275551e+05,5.03183911e+01,4.42471514e+01,3.82273995e+01,5.42976679e+01,2.31108549e+03,6.09615000e+00,6.36555902e+01,7.11143492e+01,1.75000000e+00,6.00000000e+00,3.72508698e+01,5.94319123e+01,2.28030007e-01,1.05004931e-01,5.53246154e+00,1.55300000e+01,5.00298471e+01,4.36168963e+01,3.80279573e+01,5.41044555e+01,6.36606088e+01,3.68590484e+01,6.01053600e+01,3.91261977e+02,3.63832161e+02,3.64355252e+02,3.77544460e+02,3.78979099e+02,3.99091654e+02,3.99448128e+02,4.26428913e+02,3.91837064e+02,1.71063284e+02,1.16375786e+03,4.15356599e+02,4.15348715e+02,7.74547260e+02,4.09609902e+02,4.08483133e+02,3.60710113e+02,3.61767530e+02,-2.25374797e+02,-1.47827805e+02,8.09714197e+02,7.13586211e+00,8.21864607e+00,7.11526954e+00,1.42465453e+01,1.69521760e+01,4.84644621e+00,4.41713268e+00,2.45742186e+00,7.11523756e+00,5.05902190e-01,1.27888751e+01,5.22807271e+00,1.31623194e+01,5.25980518e+00,3.89364416e+01,1.82993717e+01,5.54932945e+01,6.80760055e+01,0.00000000e+00,0.00000000e+00,5.81364926e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.24142724e+02,-1.44285275e+01,NaN,NaN,-4.66059558e+00,9.04593337e-01,1.16518652e+03,4.58724175e+00,4.14679413e+02,6.77185586e-01,4.14679413e+02,6.77185586e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.15017221e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2002Q3",1.12668083e+05,5.05570116e+01,4.42953738e+01,3.85750955e+01,5.45842114e+01,2.63464467e+03,5.25000000e+00,6.31774994e+01,7.15895007e+01,1.74000000e+00,6.00000000e+00,3.91455918e+01,6.40261825e+01,2.28030007e-01,1.05004931e-01,8.42636364e+00,1.54700000e+01,5.07266476e+01,4.47143229e+01,3.87045154e+01,5.47266340e+01,6.32316218e+01,3.81177105e+01,6.55647848e+01,3.92645137e+02,3.65595627e+02,3.65260687e+02,3.80029387e+02,3.79088024e+02,4.00235050e+02,3.99974467e+02,4.27094843e+02,3.92310164e+02,2.13136532e+02,1.16322015e+03,4.14680452e+02,4.14594822e+02,7.87650360e+02,4.18303874e+02,4.15929210e+02,3.64067902e+02,3.66728782e+02,-2.25374797e+02,-1.47827805e+02,8.22100066e+02,5.53263853e+00,7.05386465e+00,3.62173969e+00,9.93970733e+00,4.35699566e-01,4.57358537e+00,2.10535838e+00,2.66371682e+00,1.89240127e+00,1.68292991e+02,-2.15087154e+00,-2.70458605e+00,-3.01557328e+00,5.24123996e+01,3.47758853e+01,2.97843103e+01,1.34311533e+01,1.98450092e+01,0.00000000e+00,0.00000000e+00,4.95434779e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.22967739e+02,-8.67672261e-01,NaN,NaN,-4.69994312e+00,7.40505145e-01,1.16637138e+03,4.73945605e+00,4.15515100e+02,-8.34647943e-01,4.15515100e+02,-8.34647943e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.15472276e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2002Q4",1.13554474e+05,5.13213816e+01,4.57091495e+01,3.91029374e+01,5.51637930e+01,2.79253391e+03,5.25000000e+00,6.50124701e+01,7.19854604e+01,1.44333333e+00,6.00000000e+00,3.87550673e+01,6.48194422e+01,2.28030007e-01,1.05004931e-01,7.83333333e+00,1.61300000e+01,5.17420313e+01,4.62978494e+01,3.94808634e+01,5.54694070e+01,6.36921306e+01,3.94019677e+01,6.52579338e+01,3.94627044e+02,3.67581608e+02,3.66619759e+02,3.83509551e+02,3.82229849e+02,4.01583164e+02,4.01030681e+02,4.27646416e+02,3.93810746e+02,2.05838813e+02,1.16400379e+03,4.15406102e+02,4.17457910e+02,7.93470468e+02,4.17834763e+02,4.17160559e+02,3.67381576e+02,3.65726152e+02,-2.25374797e+02,-1.47827805e+02,8.26489840e+02,7.92762845e+00,7.94392549e+00,5.43628653e+00,1.39206549e+01,1.25672975e+01,5.39245686e+00,4.22485647e+00,2.20629353e+00,6.00232712e+00,-2.91908746e+01,3.13459860e+00,2.90259846e+00,1.14523534e+01,2.32804288e+01,-1.87644222e+00,4.92539617e+00,1.32546958e+01,-4.01052105e+00,0.00000000e+00,0.00000000e+00,1.75590938e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.21764061e+02,4.72577858e+00,NaN,NaN,-4.81470953e+00,3.42186650e-01,1.16759304e+03,4.88665426e+00,4.16351467e+02,-9.45365742e-01,4.16351467e+02,-9.45365742e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.14819313e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
